ファイルハンドル,ファイルを開くためのハンドル
プーリング,複数のオブジェクトを保持して、必要に応じて使用できるようにする手法
タプル型,複数の値を持つ列を定義するデータ型
バリデーション,入力値の形式や範囲をチェックする処理
レコーディング,アプリケーションの動作を記録する処理
故障注入,アプリケーションの動作をテストするために、人工的にエラーを発生させる処理
ベンチマーク,アプリケーションのパフォーマンスを測定する処理
ペネトレーションテスト,アプリケーションのセキュリティを評価するために、脆弱性を探す処理
静的解析,アプリケーションのソースコードを分析して、セキュリティ上の脆弱性を探す処理
動的解析,アプリケーションを実行中に、セキュリティ上の脆弱性を探す処理
パッチ,アプリケーションの脆弱性を修正するための対策
負荷,システムにかかる処理量
ネットワーク帯域幅,ネットワークで転送できるデータ量
データベースの検索,データベースからデータを検索する処理
プログラムの実行時間,プログラムを実行するのにかかる時間
コンポーネント,システムを構成する要素
データの整合性,データの正確性
認証,ユーザーが本人であることを確認する処理
アクセス制御,ユーザーがアクセスできるリソースを制御する処理
キャッシュ,データを一時的に保存しておく仕組み
並列処理,複数の処理を同時に実行する処理
クラウドコンピューティング,インターネット上の仮想コンピュータを利用する仕組み
性能,システムが処理できる処理量
可用性,システムが利用可能な時間
セキュリティ,システムを不正アクセスから保護する仕組み
コスト,システムを構築・運用するための費用
SOA,サービスの組み合わせでアプリケーションを構築するアーキテクチャ
SQLインジェクション,アプリケーションに入力されたSQL文に悪意のあるコードを埋め込む攻撃
DoS攻撃,サービスが利用できないようにするために、大量のアクセスを送信する攻撃
DDoS攻撃,複数のコンピュータからDoS攻撃を実行する攻撃
マルウェア,コンピュータに悪影響を及ぼすソフトウェア
ウィルス,コンピュータに感染して他のコンピュータに感染を拡大するマルウェア
トロイの木馬,コンピュータに感染してユーザーの知らないうちに悪意のある処理を実行するマルウェア
ワーム,ネットワークを介して自動的に拡散するマルウェア
スパイウェア,ユーザーの行動を監視するマルウェア
アドウェア,ユーザーに不要な広告を表示するマルウェア
フィッシング攻撃,ユーザーを騙して個人情報やクレジットカード情報を取得する攻撃
なりすまし攻撃,正規のユーザーになりすまして不正な処理を実行する攻撃
セッションハイジャック攻撃,ユーザーのセッションを乗っ取って不正な処理を実行する攻撃
ブルートフォース攻撃,パスワードを総当たりで試行して解読する攻撃
辞書攻撃,辞書に含まれる単語を組み合わせてパスワードを解読する攻撃
パスワードリスト攻撃,事前に収集したパスワードリストを使用してパスワードを解読する攻撃
中間者攻撃,通信経路上で通信を傍受してデータを盗み取ったり、改ざんしたりする攻撃
データ改ざん攻撃,不正にデータを改ざんする攻撃
データ漏洩,機密データが不正に流出する事件
サイバー攻撃,コンピュータやネットワークを標的とした攻撃
ファイルハンドル,ファイル操作のための識別子
プーリング,複数のオブジェクトを保持して、必要に応じて使用できるようにする手法
タプル型,複数の値を持つ列を定義するデータ型
バリデーション,入力値の形式や範囲をチェックする処理
レコーディング,アプリケーションの動作を記録する処理
故障注入,アプリケーションの動作をテストするために、人工的にエラーを発生させる処理
ベンチマーク,アプリケーションのパフォーマンスを測定する処理
ペネトレーションテスト,アプリケーションのセキュリティを評価するために、脆弱性を探す処理
静的解析,アプリケーションのソースコードを分析して、セキュリティ上の脆弱性を探す処理
動的解析,アプリケーションを実行中に、セキュリティ上の脆弱性を探す処理
パッチ,アプリケーションの脆弱性を修正するための対策
デバッグ,ソフトウェアに存在するバグを修正する処理
リファクタリング,ソフトウェアの構造やコードを改善する処理
テスト駆動開発,テストケースを作成してから、ソフトウェアを開発する開発手法
オブジェクト指向プログラミング,オブジェクトを基本単位としてソフトウェアを開発するプログラミング手法
関数型プログラミング,関数を基本単位としてソフトウェアを開発するプログラミング手法
アジャイル開発,短いサイクルでソフトウェアを開発する開発手法
ウォーターフォールモデル,順次工程でソフトウェアを開発する開発手法
データベース,大量のデータを効率的に管理するためのシステム
リレーショナルデータベース,データとデータの関係をテーブルで表現するデータベース
オブジェクト指向データベース,オブジェクトを基本単位としてデータベースを構成するデータベース
NoSQLデータベース,リレーショナルデータベース以外のデータベース
ウェブアプリケーション,インターネット上で動作するアプリケーション
モバイルアプリケーション,スマートフォンやタブレット端末で動作するアプリケーション
クラウドコンピューティング,インターネットを通じて、仮想コンピュータやストレージなどのITサービスを利用する仕組み
ビッグデータ,従来のデータ処理技術では扱うことが困難な大量のデータ
人工知能,コンピュータが人間のように思考や行動を模倣する技術
機械学習,コンピュータがデータから学習して、新たな知識や能力を獲得する技術
ディープラーニング,人間の脳の構造を模倣した機械学習の一種